split,column,missing_count,missing_ratio
test,markers,276,0.9517241379310345
train,markers,1361,0.9386206896551724
validation,markers,271,0.9344827586206896
test,chunk_6,239,0.8241379310344827
test,chunk_7,239,0.8241379310344827
test,chunk_8,239,0.8241379310344827
train,chunk_6,1194,0.8234482758620689
train,chunk_7,1194,0.8234482758620689
train,chunk_8,1194,0.8234482758620689
validation,chunk_6,237,0.8172413793103448
validation,chunk_7,237,0.8172413793103448
validation,chunk_8,237,0.8172413793103448
test,question,3,0.010344827586206896
validation,question,2,0.006896551724137931
train,question,2,0.001379310344827586
train,source_row,0,0.0
train,full_dialog,0,0.0
train,answer,0,0.0
train,chunk_1,0,0.0
train,chunk_2,0,0.0
train,chunk_3,0,0.0
train,chunk_4,0,0.0
train,chunk_5,0,0.0
train,binary_relevancy,0,0.0
train,binary_faithfulness,0,0.0
train,source_csv_row,0,0.0
train,binary_reliability,0,0.0
train,chunk_count,0,0.0
train,retrieval_config,0,0.0
train,has_marker,0,0.0
train,mask_count,0,0.0
train,has_question,0,0.0
train,input_hash,0,0.0
train,dialog_group_id,0,0.0
train,case_id,0,0.0
train,joint_label,0,0.0
train,fold,0,0.0
train,split,0,0.0
validation,source_row,0,0.0
validation,full_dialog,0,0.0
validation,answer,0,0.0
validation,chunk_1,0,0.0
validation,chunk_2,0,0.0
validation,chunk_3,0,0.0
validation,chunk_4,0,0.0
validation,chunk_5,0,0.0
validation,binary_relevancy,0,0.0
validation,binary_faithfulness,0,0.0
validation,source_csv_row,0,0.0
validation,binary_reliability,0,0.0
validation,chunk_count,0,0.0
validation,retrieval_config,0,0.0
validation,has_marker,0,0.0
validation,mask_count,0,0.0
validation,has_question,0,0.0
validation,input_hash,0,0.0
validation,dialog_group_id,0,0.0
validation,case_id,0,0.0
validation,joint_label,0,0.0
validation,fold,0,0.0
validation,split,0,0.0
test,source_row,0,0.0
test,full_dialog,0,0.0
test,answer,0,0.0
test,chunk_1,0,0.0
test,chunk_2,0,0.0
test,chunk_3,0,0.0
test,chunk_4,0,0.0
test,chunk_5,0,0.0
test,binary_relevancy,0,0.0
test,binary_faithfulness,0,0.0
test,source_csv_row,0,0.0
test,binary_reliability,0,0.0
test,chunk_count,0,0.0
test,retrieval_config,0,0.0
test,has_marker,0,0.0
test,mask_count,0,0.0
test,has_question,0,0.0
test,input_hash,0,0.0
test,dialog_group_id,0,0.0
test,case_id,0,0.0
test,joint_label,0,0.0
test,fold,0,0.0
test,split,0,0.0
