feature,coef,abs
sm_Llama-2-7b-chat-hf,0.27048124988909816,0.27048124988909816
rat_015,-0.23975458983514167,0.23975458983514167
sm_Llama-3.1-8B-Instruct,-0.1958312454061885,0.1958312454061885
prob_std,0.18978189151448951,0.18978189151448951
rat_010,-0.17155371793223936,0.17155371793223936
sm_Mistral-7B-Instruct-v0.3,-0.16612558661712654,0.16612558661712654
n_tokens,0.16013523461482387,0.16013523461482387
rat_020,-0.15809267469645444,0.15809267469645444
n_chars,0.1334615225246282,0.1334615225246282
sm_Llama-3.1-8B-Instruct_r005,-0.12869560898008053,0.12869560898008053
rat_005,0.12281495537613352,0.12281495537613352
cnt_005,0.12003130283117519,0.12003130283117519
sm_Mistral-7B-Instruct-v0.1_r005,0.11321622973820182,0.11321622973820182
prob_max,0.09748557425385913,0.09748557425385913
top1,0.09748557425385913,0.09748557425385913
sm_Mistral-7B-Instruct-v0.1,0.0914755821342176,0.0914755821342176
sm_Mistral-7B-Instruct-v0.3_r005,0.09011639579329746,0.09011639579329746
ctx_len,0.08839582895578002,0.08839582895578002
top5,0.08385434551891785,0.08385434551891785
sm_Llama-3.1-8B-Instruct_max,-0.08183847475150682,0.08183847475150682
top3,0.08103556569045846,0.08103556569045846
sm_Llama-3.1-8B-Instruct_p95,-0.07972596224944763,0.07972596224944763
sm_Mistral-7B-Instruct-v0.1_max,0.07959356647615219,0.07959356647615219
prob_p99,0.07569729296185153,0.07569729296185153
cnt_020,-0.06404820650938742,0.06404820650938742
prob_p95,0.05719639789340178,0.05719639789340178
max_consec,0.05419406758070391,0.05419406758070391
sm_Mistral-7B-Instruct-v0.3_max,0.05381318337828109,0.05381318337828109
rat_030,0.05370475562413577,0.05370475562413577
prob_sum,0.053483541591456046,0.053483541591456046
sm_Llama-2-7b-chat-hf_r005,0.053291577571533744,0.053291577571533744
prob_p90,0.051363092552464115,0.051363092552464115
sm_Llama-2-7b-chat-hf_p95,0.04945402888238423,0.04945402888238423
trunc,-0.04944694349773319,0.04944694349773319
sm_Llama-2-7b-chat-hf_max,0.04565934573641309,0.04565934573641309
sm_Mistral-7B-Instruct-v0.1_p95,0.043340082406846295,0.043340082406846295
sm_Mistral-7B-Instruct-v0.3_p95,0.035832760837758756,0.035832760837758756
cnt_015,-0.022871554334302133,0.022871554334302133
n_spans,0.020197769316440604,0.020197769316440604
prob_mean,-0.013280989491053158,0.013280989491053158
cnt_030,0.011298114030673805,0.011298114030673805
cnt_010,0.010888462733432518,0.010888462733432518
prob_sum_norm,-0.0019951852700529774,0.0019951852700529774
q_len,0.0007700996453858029,0.0007700996453858029
