method,split,backbone,training_scope,threshold,accuracy,balanced_accuracy,macro_f1,unfaithful_f1,token_f1,character_f1,auroc,pr_auc,notes,source
"mDeBERTa-MNLI token (collapsed, pre-fix)",dev,mDeBERTa-v3-base-mnli-xnli,full (6268),0.5,0.805,N/A,0.446,0.0,0.0,0.0,0.5001,0.1952,No class weight in loss; uniform LR 1e-3,results/token_level/checkpoints/training_history.jsonl
"mDeBERTa-MNLI token (collapsed, pre-fix)",dev,mDeBERTa-v3-base-mnli-xnli,full (6268),0.5,0.805,N/A,0.446,0.0,0.0,0.0,0.4988,0.1946,No class weight in loss; uniform LR 1e-3,results/token_level/checkpoints/training_history.jsonl
"mDeBERTa-MNLI token (collapsed, pre-fix)",dev,mDeBERTa-v3-base-mnli-xnli,full (6268),0.5,0.805,N/A,0.446,0.0,0.0,0.0,0.5069,0.1977,No class weight in loss; uniform LR 1e-3,results/token_level/checkpoints/training_history.jsonl
"mDeBERTa-MNLI token (collapsed, pre-fix)",dev,mDeBERTa-v3-base-mnli-xnli,full (6268),0.5,0.805,N/A,0.446,0.0,0.0,0.0,0.4937,0.1927,No class weight in loss; uniform LR 1e-3,results/token_level/checkpoints/training_history.jsonl
"mDeBERTa-MNLI token (fixed, short exp)",dev,mDeBERTa-v3-base-mnli-xnli,500 samples,0.5,0.8142,N/A,0.5542,0.2138,0.2138,0.2287,0.6623,0.2856,Class weight 3.0; encoder LR 1e-5; classifier LR 5e-4,results/token_level/short_experiment/training_history.jsonl
"mDeBERTa-MNLI token (fixed, short exp)",dev,mDeBERTa-v3-base-mnli-xnli,500 samples,0.5,0.7526,N/A,0.5913,0.3345,0.3345,0.35,0.6837,0.2915,Class weight 3.0; encoder LR 1e-5; classifier LR 5e-4,results/token_level/short_experiment/training_history.jsonl
"mDeBERTa-MNLI token (fixed, short exp)",dev,mDeBERTa-v3-base-mnli-xnli,500 samples,0.5,0.7727,N/A,0.6084,0.3546,0.3546,0.3696,0.7052,0.3157,Class weight 3.0; encoder LR 1e-5; classifier LR 5e-4,results/token_level/short_experiment/training_history.jsonl
mDeBERTa-MNLI token (full run),dev,mDeBERTa-v3-base-mnli-xnli,full (6268),0.5,0.785451,N/A,0.739311,0.740584,0.629636,0.0,0.937273,0.816584,Epoch 1,results/token_level/full_run_day1/epoch_metrics.csv
mDeBERTa-MNLI token (full run),dev,mDeBERTa-v3-base-mnli-xnli,full (6268),0.5,0.868188,N/A,0.825687,0.810067,0.739616,0.0,0.974893,0.923914,Epoch 2,results/token_level/full_run_day1/epoch_metrics.csv
mDeBERTa-MNLI token (full run),dev,mDeBERTa-v3-base-mnli-xnli,full (6268),0.5,0.906915,N/A,0.869805,0.850294,0.800296,0.0,0.981195,0.9415,Epoch 3,results/token_level/full_run_day1/epoch_metrics.csv
